Winner: Michigan St.-14, Loser: Texas Tech-26
index,name,userId,year,avg money,first%,second%,last%,avg place
12,RF,12,2019,$248.0,100.0%,0.0%,0.0%,1.0
11,gully,11,2019,$46.29,0.0%,74.67%,0.0%,2.25
5,chad,5,2019,$15.71,0.0%,25.33%,0.0%,2.75
0,bob,0,2019,$10.0,0.0%,0.0%,100.0%,16.0
1,dave b.,1,2019,$0.0,0.0%,0.0%,0.0%,8.0
2,drew,2,2019,$0.0,0.0%,0.0%,0.0%,13.0
3,liz,3,2019,$0.0,0.0%,0.0%,0.0%,5.33
4,barb,4,2019,$0.0,0.0%,0.0%,0.0%,15.0
6,liquorman,6,2019,$0.0,0.0%,0.0%,0.0%,4.52
7,dave monkey,7,2019,$0.0,0.0%,0.0%,0.0%,6.91
8,purdue pete,8,2019,$0.0,0.0%,0.0%,0.0%,14.0
9,stef,9,2019,$0.0,0.0%,0.0%,0.0%,10.58
10,peninsular danny,10,2019,$0.0,0.0%,0.0%,0.0%,12.0
13,jake,13,2019,$0.0,0.0%,0.0%,0.0%,9.1
14,terry,14,2019,$0.0,0.0%,0.0%,0.0%,5.04
15,tyler,15,2019,$0.0,0.0%,0.0%,0.0%,10.2

Winner: Texas Tech-26, Loser: Michigan St.-14
index,name,userId,year,avg money,first%,second%,last%,avg place
12,RF,12,2019,$248.0,100.0%,0.0%,0.0%,1.0
5,chad,5,2019,$33.07,0.0%,53.33%,0.0%,2.47
11,gully,11,2019,$28.93,0.0%,46.67%,0.0%,2.85
0,bob,0,2019,$10.0,0.0%,0.0%,100.0%,16.0
1,dave b.,1,2019,$0.0,0.0%,0.0%,0.0%,8.0
2,drew,2,2019,$0.0,0.0%,0.0%,0.0%,12.47
3,liz,3,2019,$0.0,0.0%,0.0%,0.0%,5.68
4,barb,4,2019,$0.0,0.0%,0.0%,0.0%,15.0
6,liquorman,6,2019,$0.0,0.0%,0.0%,0.0%,4.86
7,dave monkey,7,2019,$0.0,0.0%,0.0%,0.0%,6.9
8,purdue pete,8,2019,$0.0,0.0%,0.0%,0.0%,14.0
9,stef,9,2019,$0.0,0.0%,0.0%,0.0%,11.0
10,peninsular danny,10,2019,$0.0,0.0%,0.0%,0.0%,12.53
13,jake,13,2019,$0.0,0.0%,0.0%,0.0%,9.32
14,terry,14,2019,$0.0,0.0%,0.0%,0.0%,4.15
15,tyler,15,2019,$0.0,0.0%,0.0%,0.0%,9.68

Winner: Virginia-32, Loser: Auburn-52
index,name,userId,year,avg money,first%,second%,last%,avg place
12,RF,12,2019,$248.0,100.0%,0.0%,0.0%,1.0
11,gully,11,2019,$55.39,0.0%,89.33%,0.0%,2.11
0,bob,0,2019,$10.0,0.0%,0.0%,100.0%,16.0
5,chad,5,2019,$6.61,0.0%,10.67%,0.0%,2.89
1,dave b.,1,2019,$0.0,0.0%,0.0%,0.0%,8.0
2,drew,2,2019,$0.0,0.0%,0.0%,0.0%,12.89
3,liz,3,2019,$0.0,0.0%,0.0%,0.0%,5.75
4,barb,4,2019,$0.0,0.0%,0.0%,0.0%,15.0
6,liquorman,6,2019,$0.0,0.0%,0.0%,0.0%,4.11
7,dave monkey,7,2019,$0.0,0.0%,0.0%,0.0%,7.0
8,purdue pete,8,2019,$0.0,0.0%,0.0%,0.0%,14.0
9,stef,9,2019,$0.0,0.0%,0.0%,0.0%,10.75
10,peninsular danny,10,2019,$0.0,0.0%,0.0%,0.0%,12.11
13,jake,13,2019,$0.0,0.0%,0.0%,0.0%,9.0
14,terry,14,2019,$0.0,0.0%,0.0%,0.0%,5.15
15,tyler,15,2019,$0.0,0.0%,0.0%,0.0%,10.25

Winner: Auburn-52, Loser: Virginia-32
index,name,userId,year,avg money,first%,second%,last%,avg place
12,RF,12,2019,$248.0,100.0%,0.0%,0.0%,1.0
5,chad,5,2019,$62.0,0.0%,100.0%,0.0%,2.0
0,bob,0,2019,$10.0,0.0%,0.0%,100.0%,16.0
1,dave b.,1,2019,$0.0,0.0%,0.0%,0.0%,8.0
2,drew,2,2019,$0.0,0.0%,0.0%,0.0%,12.59
3,liz,3,2019,$0.0,0.0%,0.0%,0.0%,4.68
4,barb,4,2019,$0.0,0.0%,0.0%,0.0%,15.0
6,liquorman,6,2019,$0.0,0.0%,0.0%,0.0%,6.04
7,dave monkey,7,2019,$0.0,0.0%,0.0%,0.0%,6.65
8,purdue pete,8,2019,$0.0,0.0%,0.0%,0.0%,14.0
9,stef,9,2019,$0.0,0.0%,0.0%,0.0%,10.68
10,peninsular danny,10,2019,$0.0,0.0%,0.0%,0.0%,12.41
11,gully,11,2019,$0.0,0.0%,0.0%,0.0%,3.41
13,jake,13,2019,$0.0,0.0%,0.0%,0.0%,9.64
14,terry,14,2019,$0.0,0.0%,0.0%,0.0%,3.62
15,tyler,15,2019,$0.0,0.0%,0.0%,0.0%,9.4

